,SN Name,SN Type,ExtraCare,SeMask2,Good,Mask,seMask,IFU RA,IFU DEC,SN RA,SN DEC,Separation,ArcName,SN Time,IFU Time,Redshift,Note
0,SN2019tua,II,,,,,,329.500014,24.269238,329.501166666667,24.2658611111111,12.7317835395972,ADP.2019-07-24T09:10:32.252,2019-10-31 07:52:19,2019-06-06T08:38:42.483,0.010424,
1,SN2019obh,IIb,,,,,,69.092507,-10.375867,69.0926875,-10.3722361111111,13.0868184712644,ADP.2016-06-15T12:05:06.587,2019-08-18 12:10:21,2014-12-29T01:20:14.526,0.0355,
2,SN2019mkr,II,,,,,,257.774633,5.852107,257.774083333333,5.85205,1.97915375208092,ADP.2018-04-27T15:39:34.731,2019-08-03 04:04:30,2018-04-17T08:27:51.116,0.0224,
3,SN2019knu,II,,,,,,49.473272,-7.298251,49.4695916666667,-7.30318888888889,22.1067174033904,ADP.2018-10-17T12:58:37.289,2019-07-05 09:36:00,2018-08-22T08:23:33.206,0.017062,
4,SN2019fkq,Ia,0,1 2,0,1,1 2,359.100959,-29.023047,359.101625,-29.0237805555556,3.37182317591299,ADP.2019-10-07T17:13:49.969,2019-05-14 09:11:31,2019-09-07T01:33:39.476,0.045,
5,SN2019ehk,Ib,,,,,,185.734501,15.822736,185.733958333333,15.8261194444444,12.3245648163341,ADP.2019-09-18T17:07:14.564,2019-04-29 22:27:50,2019-04-28T02:38:55.323,0.0043,
6,SN2019dxd,II,,,,,,163.667653,-21.067357,163.674258333333,-21.0669694444444,22.233609986079,ADP.2016-09-06T14:24:08.248,2019-04-24 07:46:33,2015-12-01T06:43:28.196,0.01249,
7,SN2018lab,II,,,,,,94.107264,-21.373196,94.1105,-21.3756611111111,14.0157449212197,ADP.2017-12-12T18:37:54.575,2018-12-29 03:01:26,2017-11-17T07:01:34.703,0.009223,
8,SN2018kcw,II,,,,,,334.038379,-36.843895,334.033066666667,-36.8489222222222,23.7014101092208,ADP.2016-06-23T09:51:35.962,2018-12-19 01:12:00,2014-10-27T00:13:18.766,0.011415,
9,SN2018jfz,II,,,,,,50.078149,-0.296139,50.0780666666667,-0.296325,0.732266871855055,ADP.2019-11-28T13:05:53.718,2018-11-28 10:36:28,2019-10-08T06:33:33.303,0.034,
10,SN2018ivc,II,,,,,,40.670218,-0.01217,40.6719833333333,-0.008866666666667,13.4836282085932,ADP.2016-06-20T16:43:08.124,2018-11-24 01:47:09,2014-11-15T00:33:43.156,0.00379,
11,SN2018iuq,II,,,,,,106.472851,12.893239,106.472625,12.8929611111111,1.27663152980161,ADP.2019-12-08T00:33:13.197,2018-11-21 08:58:33,2019-10-17T07:08:13.913,0.028,
12,SN2018hfm,SN,,,,,,144.036407,6.257987,144.0364,6.25752222222222,1.67338750291118,ADP.2020-01-04T23:56:39.881,2018-10-09 15:07:12,2019-11-17T07:36:15.416,0.008087,
13,SN2018gsr,II,,,,,,2.126733,-1.524663,2.126625,-1.52497222222222,1.17909823228571,ADP.2019-11-28T13:05:53.694,2018-09-14 07:30:43,2019-10-08T04:29:35.520,0.089,
14,SN2018fqm,II,,,,,,75.840215,-28.734093,75.8399416666667,-28.7315944444444,9.03608993432085,ADP.2019-11-27T06:58:09.582,2018-08-31 14:21:07,2019-10-12T04:18:43.643,0.035,
15,SN2018fit,II,,,,,,351.317489,13.934368,351.317408333333,13.9340111111111,1.3153527800207,ADP.2019-12-08T00:33:13.241,2018-08-21 12:36:00,2019-10-17T04:11:57.476,0.014,
16,SN2018ezx,Ia,0,1 2,0,4,1 2,62.032636,-8.831268,62.0337083333333,-8.83318055555556,7.8712982367721,ADP.2017-01-18T15:19:35.833,2018-08-12 09:07:12,2016-11-08T05:42:06.153,0.032903,
17,SN2018evy,II,,,,,,275.659289,15.696643,275.659083333333,15.6965694444444,0.760386062177211,ADP.2019-07-20T08:00:23.865,2018-08-11 09:11:31,2019-05-06T06:36:09.116,0.018,
18,SN2018evk,II,,,,,,348.937416,6.91132,348.937325,6.91102777777778,1.10112297398854,ADP.2019-11-28T13:05:53.710,2018-08-08 14:06:43,2019-10-08T03:06:39.880,0.03,
19,SN2018eog,II,,,,,,307.045867,-3.136819,307.050208333333,-3.13633055555556,15.7041421437904,ADP.2019-06-16T06:18:07.639,2018-08-02 14:13:56,2019-05-21T08:06:26.470,0.015,
20,SN2018djd,Ia,1,1,0,8,1,33.639763,-0.76636,33.6409583333333,-0.765769444444445,4.79938497377333,ADP.2017-11-20T17:51:27.822,2018-07-12 08:23:59,2017-10-28T04:19:18.173,0.026385,
21,SN2018dfh,II,,,,,,77.889475,-21.269567,77.8894125,-21.2695194444444,0.270689124760384,ADP.2019-09-11T17:15:33.753,2018-07-10 10:19:12,2019-08-15T08:55:19.880,0.013836,
22,SN2018dfg,II,,,,,,211.644686,-5.450023,211.644620833333,-5.45048888888889,1.69338137551373,ADP.2019-08-19T09:40:32.186,2018-07-10 10:24:54,2019-07-22T00:35:18.750,0.0095,
23,SN2018ddr,IIb,,,,,,209.660389,7.21729,209.660291666667,7.21701944444444,1.03417519069101,ADP.2019-08-20T01:20:21.183,2018-07-03 07:13:26,2019-04-15T05:54:57.570,0.01462,
24,SN2018cvn,II,,,,,,22.609141,-26.779392,22.6132916666667,-26.78495,24.0477346247604,ADP.2019-07-25T23:53:04.583,2018-06-26 07:55:12,2019-06-14T08:41:34.576,0.0198,
